1	1	A	After the siege of Troy
1	1	B	Romulus built Rome,
1	1	C	and Felix Brutus founded Britain,
1	1	D	a land of war and wonder,
1	1	E	and oft of bliss and blunder.
1	2	A	Bold men increased in the Land,
1	2	B	and many marvels happened.
1	2	C	Of all Britain’s kings Arthur was the noblest.
1	2	D	Listen a while and ye shall hear the story of an “outrageous adventure.”
1	3	A	Arthur held at Camelot his Christmas feast,
1	3	B	with all the knights of the Round Table,
1	3	C	full fifteen days.
1	3	D	All was joy in hall and chamber,
1	3	E	among brave knights and lovely ladies,
1	3	F	the happiest under heaven.
1	3	1	MS. werere.
1	4	A	They celebrate the New Year with great joy.
1	4	B	Gifts are demanded and bestowed.
1	4	C	Lords and ladies take their seats at the table.
1	4	D	Queen Guenever appears gaily dressed.
1	4	E	A lady fairer of form might no one say he had ever before seen.
1	5	A	Arthur would not eat,
1	5	B	nor would he long sit
1	5	C	until he had witnessed a “wondrous adventure” of some kind.
1	5	D	He of face so bold makes much mirth with all.
1	5	1	Of of, in MS.
1	6	A	The king talks with his knights.
1	6	B	Gawayne,
1	6	C	Agravayn,
1	6	D	Bishop Bawdewyn,
1	6	E	and Ywain sit on the dais.
1	6	F	The first course is served with cracking of trumpets.
1	6	G	It consisted of all dainties in season.
1	6	H	Each two had dishes twelve,
1	6	I	good beer and bright wine both.
1	6	1	svlueren (?) (dishes).
1	7	A	There was no want of anything.
1	7	B	Scarcely had the first course commenced,
1	7	C	when there rushes in at the hall-door a knight;
1	7	D	the tallest on earth
1	7	E	he must have been.
1	7	F	His back and breast were great,
1	7	G	but his belly and waist were small.
1	8	A	He was clothed entirely in green.
1	8	B	His spurs were of bright gold.
1	8	C	His saddle was embroidered with birds and flies.
1	8	D	The foal that he rode upon was green;
1	8	E	it was a steed full stiff to guide.
1	8	1	glemed (?).
1	9	A	Gaily was the knight attired.
1	9	B	His great beard, like a bush, hung on his breast.
1	9	C	The horse’s mane was decked with golden threads.
1	9	D	Its tail was bound with a green band.
1	9	E	Such a foal nor a knight were never before seen.
1	9	F	It seemed that no man might endure his dints.
1	9	1	as as, in MS.
1	10	A	The knight carried neither spear nor shield,
1	10	B	In one hand was a holly bough,
1	10	C	in the other an axe,
1	10	D	the edge of which was as keen as a sharp razor,
1	10	E	and the handle was encased in iron, curiously “graven with green, in gracious works.”
1	10	F	Thus arrayed the Green Knight enters the hall,
1	10	G	without saluting any one.
1	10	H	He asks for the “governor” of the company,
1	10	I	and looks for the most renowned.
1	10	1	looks like gracons in MS.
1	11	A	Much they marvel to see a man and a horse
1	11	B	as green as grass.
1	11	C	Never before had they seen such a sight as this.
1	11	D	They were afraid to answer,
1	11	E	and were as silent as if sleep had taken possession of them;
1	11	F	some from fear and others from courtesy.
1	12	A	Arthur salutes the Green Knight.
1	12	B	bids him welcome, and invites him to stay awhile.
1	12	C	The knight says that he will not tarry.
1	12	D	He seeks the most valiant that he may prove him.
1	12	E	He comes in peace.
