1	SIÞEN þe sege and þe assaut watz sesed at Troye,
2	Þe bor3 brittened and brent to brondez and askez,
3	Þe tulk þat þe trammes of tresoun þer wro3t
4	Watz tried for his tricherie, þe trewest on erþe:
5	Hit watz Ennias þe athel, and his highe kynde,
6	Þat siþen depreced prouinces, and patrounes bicome
7	Welne3e of al þe wele in þe west iles.
8	Fro riche Romulus to Rome ricchis hym swyþe,
9	With gret bobbaunce þat bur3e he biges vpon fyrst,
10	And neuenes hit his aune nome, as hit now hat;
11	Tirius to Tuskan and teldes bigynnes,
12	Langaberde in Lumbardie lyftes vp homes,
13	And fer ouer þe French flod Felix Brutus
14	On mony bonkkes ful brode Bretayn he settez
15	wyth wynne,
16	Where werre and wrake and wonder
17	Bi syþez hatz wont þerinne,
18	And oft boþe blysse and blunder
19	Ful skete hatz skyfted synne.
20	Ande quen þis Bretayn watz bigged bi þis burn rych,
21	Bolde bredden þerinne, baret þat lofden,
22	In mony turned tyme tene þat wro3ten.
23	Mo ferlyes on þis folde han fallen here oft
24	Þen in any oþer þat I wot, syn þat ilk tyme.
25	Bot of alle þat here bult, of Bretaygne kynges,
26	Ay watz Arthur þe hendest, as I haf herde telle.
27	Forþi an aunter in erde I attle to schawe,
28	Þat a selly in si3t summe men hit holden,
29	And an outtrage awenture of Arthurez wonderez.
30	If 3e wyl lysten þis laye bot on littel quile,
31	I schal telle hit as-tit, as I in toun herde,
32	with tonge,
33	As hit is stad and stoken
34	In stori stif and stronge,
35	With lel letteres loken,
36	In londe so hatz ben longe.
37	Þis kyng lay at Camylot vpon Krystmasse
38	With mony luflych lorde, ledez of þe best,
39	Rekenly of þe Rounde Table alle þo rich breþer,
40	With rych reuel ory3t and rechles merþes.
41	Þer tournayed tulkes by tymez ful mony,
42	Justed ful jolilé þise gentyle kni3tes,
43	Syþen kayred to þe court caroles to make.
44	For þer þe fest watz ilyche ful fiften dayes,
45	With alle þe mete and þe mirþe þat men couþe avyse;
46	Such glaum ande gle glorious to here,
47	Dere dyn vpon day, daunsyng on ny3tes,
48	Al watz hap vpon he3e in hallez and chambrez
49	With lordez and ladies, as leuest him þo3t.
50	With all þe wele of þe worlde þay woned þer samen,
51	Þe most kyd kny3tez vnder Krystes seluen,
52	And þe louelokkest ladies þat euer lif haden,
53	And he þe comlokest kyng þat þe court haldes;
54	For al watz þis fayre folk in her first age,
55	on sille,
56	Þe hapnest vnder heuen,
57	Kyng hy3est mon of wylle;
58	Hit were now gret nye to neuen
59	So hardy a here on hille.
60	Wyle Nw 3er watz so 3ep þat hit watz nwe cummen,
61	Þat day doubble on þe dece watz þe douth serued.
62	Fro þe kyng watz cummen with kny3tes into þe halle,
63	Þe chauntré of þe chapel cheued to an ende,
64	Loude crye watz þer kest of clerkez and oþer,
65	Nowel nayted onewe, neuened ful ofte;
66	And syþen riche forth runnen to reche hondeselle,
67	3e3ed 3eres-3iftes on hi3, 3elde hem bi hond,
68	Debated busyly aboute þo giftes;
69	Ladies la3ed ful loude, þo3 þay lost haden,
70	And he þat wan watz not wrothe, þat may 3e wel trawe.
71	Alle þis mirþe þay maden to þe mete tyme;
72	When þay had waschen worþyly þay wenten to sete,
73	Þe best burne ay abof, as hit best semed,
74	Whene Guenore, ful gay, grayþed in þe myddes,
75	Dressed on þe dere des, dubbed al aboute,
76	Smal sendal bisides, a selure hir ouer
77	Of tryed tolouse, and tars tapites innoghe,
78	Þat were enbrawded and beten wyth þe best gemmes
79	Þat my3t be preued of prys wyth penyes to bye,
80	in daye.
81	Þe comlokest to discrye
82	Þer glent with y3en gray,
83	A semloker þat euer he sy3e
84	Soth mo3t no mon say.
85	Bot Arthure wolde not ete til al were serued,
86	He watz so joly of his joyfnes, and sumquat childgered:
87	His lif liked hym ly3t, he louied þe lasse
88	Auþer to longe lye or to longe sitte,
89	So bisied him his 3onge blod and his brayn wylde.
90	And also an oþer maner meued him eke
91	Þat he þur3 nobelay had nomen, he wolde neuer ete
92	Vpon such a dere day er hym deuised were
93	Of sum auenturus þyng an vncouþe tale,
94	Of sum mayn meruayle, þat he my3t trawe,
95	Of alderes, of armes, of oþer auenturus,
96	Oþer sum segg hym biso3t of sum siker kny3t
97	To joyne wyth hym in iustyng, in jopardé to lay,
98	Lede, lif for lyf, leue vchon oþer,
99	As fortune wolde fulsun hom, þe fayrer to haue.
100	Þis watz þe kynges countenaunce where he in court were,
101	At vch farand fest among his fre meny
102	in halle.
103	Þerfore of face so fere
104	He sti3tlez stif in stalle,
105	Ful 3ep in þat Nw 3ere
106	Much mirthe he mas withalle.
107	Thus þer stondes in stale þe stif kyng hisseluen,
108	Talkkande bifore þe hy3e table of trifles ful hende.
109	There gode Gawan watz grayþed Gwenore bisyde,
110	And Agrauayn a la dure mayn on þat oþer syde sittes,
111	Boþe þe kynges sistersunes and ful siker kni3tes;
112	Bischop Bawdewyn abof biginez þe table,
113	And Ywan, Vryn son, ette with hymseluen.
114	Þise were di3t on þe des and derworþly serued,
115	And siþen mony siker segge at þe sidbordez.
116	Þen þe first cors come with crakkyng of trumpes,
117	Wyth mony baner ful bry3t þat þerbi henged;
118	Nwe nakryn noyse with þe noble pipes,
119	Wylde werbles and wy3t wakned lote,
120	Þat mony hert ful hi3e hef at her towches.
