1	91a	A	1	1	-	Siþen þe sege & þe assaut wat3 sesed at Troye,
2			1	1	-	Þe bor3 brittened & brent to bronde3 & aske3,
3			1	1	-	Þe tulk þat þe trammes of tresoun þer wro3t,
4			1	1	-	Wat3 tried for his tricherie, þe trewest on erthe;
5			1	1	-	Hit wat3 Ennias þe athel, & his highe kynde,
6			1	1	-	Þat siþen depreced prouinces, & patrounes bicome
7			1	1	-	Welne3e of al þe wele in þe west iles,
8		B	1	1	-	Fro riche Romulus to Rome ricchis hym swyþe,
9			1	1	-	With gret bobbaunce þat bur3e he biges vpon fyrst,
10			1	1	-	& neuenes hit his aune nome, as hit now hat;
11			1	1	-	Ticius to Tuskan [turnes,] & teldes bigynnes;
12			1	1	-	Langaberde in Lumbardie lyftes vp homes;
13		C	1	1	-	& fer ouer þe French flod Felix Brutus
14			1	1	-	On mony bonkkes ful brode Bretayn he sette3,
15			1	1	b	wyth wynne;
16		D	1	1	w	Where werre, & wrake, & wonder,
17			1	1	w	Bi syþe3 hat3 wont þer-inne,
18		E	1	1	w	& oft boþe blysse & blunder
19			1	1	w	Ful skete hat3 skyfted synne.
20			1	2	-	Ande quen þis Bretayn wat3 bigged bi þis burn rych,
21		A	1	2	-	Bolde bredden þer-inne, baret þat lofden,
22			1	2	-	In mony turned tyme tene þat wro3ten;
23			1	2	-	Mo ferlyes on þis folde han fallen here oft
24		B	1	2	-	Þen in any oþer þat I wot, syn þat ilk tyme.
25		C	1	2	-	Bot of alle þat here bult of Bretaygne kynges
26			1	2	-	Ay wat3 Arthur þe hendest; as I haf herde telle;
27	91b		1	2	-	For-þi an aunter in erde I attle to schawe,
28			1	2	-	Þat a selly in si3t summe men hit holden,
29			1	2	-	& an outtrage awenture of Arthure3 wondere3;
30		D	1	2	-	If 3e wyl lysten þis laye bot on littel quile,
31			1	2	-	I schal telle hit, as-tit, as I in toun herde,
32			1	2	b	with tonge;
33			1	2	w	As hit is stad & stoken,
34			1	2	w	In stori stif & stronge,
35			1	2	w	With lel letteres loken,
36			1	2	-	In londe so hat3 ben longe.
37		A	1	3	-	Þis kyng lay at Camylot vpon kryst-masse,
38			1	3	-	With mony luflych lorde, lede3 of þe best,
39		B	1	3	-	Rekenly of þe rounde table alle þo rich breþer,
40			1	3	-	With rych reuel ory3t, & rechles merþes;
41			1	3	-	Þer tournayed tulkes bi-tyme3 ful mony,
42			1	3	-	Iusted ful Iolilé þise gentyle kni3tes,
43			1	3	-	Syþen kayred to þe court, caroles to make.
44		C	1	3	-	For þer þe fest wat3 ilyche ful fiften dayes,
45			1	3	-	With alle þe mete & þe mirþe þat men couþe a-vyse;
46			1	3	-	Such glaumande gle glorious to here,
47			1	3	-	Dere dyn vp-on day, daunsyng on ny3tes,
48		D	1	3	-	Al wat3 hap vpon he3e in halle3 & chambre3,
49			1	3	-	With lorde3 & ladies, as leuest him þo3t;
50			1	3	-	With all þe wele of þe worlde þay woned þer samen,
51		E	1	3	-	Þe most kyd kny3te3 vnder kryste seluen,
52			1	3	-	& þe louelokkest ladies þat euer lif haden,
53			1	3	-	& he þe comlokest kyng þat þe court haldes;
54			1	3	-	For al wat3 þis fayre folk in her first age,
55			1	3	b	on sille;
56		F	1	3	w	Þe hapnest vnder heuen,
57			1	3	w	Kyng hy3est mon of wylle,
58			1	3	w	Hit were[1] now gret nye to neuen
59			1	3	w	So hardy a here on hille.
60		A	1	4	-	Wyle nw 3er wat3 so 3ep þat hit wat3 nwe cummen,
61			1	4	-	Þat day doubble on þe dece wat3 þe douth serued,
62			1	4	-	Fro þe kyng wat3 cummen with kny3tes in to þe halle,
63			1	4	-	Þe chauntre of þe chapel cheued to an ende;
64			1	4	-	Loude crye wat3 þer kest of clerke3 & oþer,
65	92		1	4	-	Nowel nayted o-newe, neuened ful ofte;
66			1	4	-	& syþen riche forth runnen to reche honde-selle,
67		B	1	4	-	3e3ed 3eres 3iftes on hi3, 3elde hem bi hond,
68			1	4	-	Debated busyly aboute þo giftes;
69			1	4	-	Ladies la3ed ful loude, þo3 þay lost haden,
70			1	4	-	& he þat wan wat3 not wrothe, þat may 3e wel trawe.
71		C	1	4	-	Alle þis mirþe þay maden to þe mete tyme;
72			1	4	-	When þay had waschen, worþyly þay wenten to sete,
73			1	4	-	Þe best burne ay abof, as hit best semed;
74		D	1	4	-	Whene Guenore ful gay, grayþed in þe myddes.
75			1	4	-	Dressed on þe dere des, dubbed al aboute,
76			1	4	-	Smal sendal bisides, a selure hir ouer
77			1	4	-	Of tryed Tolouse, of Tars tapites in-noghe,
78			1	4	-	Þat were enbrawded & beten wyth þe best gemmes,
79			1	4	-	Þat my3t be preued of prys wyth penyes to bye,
80			1	4	b	in daye;
81		E	1	4	w	Þe comlokest to discrye,
82			1	4	w	Þer glent with y3en gray,
83			1	4	w	A semloker þat euer he sy3e,
84			1	4	w	Soth mo3t no mon say.
85		A	1	5	-	Bot Arthure wolde not ete til al were serued,
86			1	5	-	He wat3 so Ioly of his Ioyfnes, & sum-quat child gered,
87			1	5	-	His lif liked hym ly3t, he louied þe lasse
88		B	1	5	-	Auþer to lenge lye, or to longe sitte,
89			1	5	-	So bi-sied him his 3onge blod & his brayn wylde;
90			1	5	-	& also anoþer maner meued him eke,
91			1	5	-	Þat he þur3 nobelay had nomen, ho wolde neuer ete
92			1	5	-	Vpon such a dere day, er hym deuised were
93		C	1	5	-	Of sum auenturus þyng an vncouþe tale,
94			1	5	-	Of sum mayn meruayle, þat he my3t trawe,
95			1	5	-	Of[1] alderes, of armes, of oþer auenturus,
96			1	5	-	Oþer sum segg hym bi-so3t of sum siker kny3t,
97			1	5	-	To Ioyne wyth hym in iustyng in Iopardé to lay,
98			1	5	-	Lede lif for lyf, leue vchon oþer,
99			1	5	-	As fortune wolde fulsun hom þe fayrer to haue.
100			1	5	-	Þis wat3 [þe] kynges countenaunce where he in court were,
101			1	5	-	At vch farand fest among his fre meny,
102	92b		1	5	b	in halle;
103		D	1	5	w	Þer-fore of face so fere.
104			1	5	w	He sti3tle3 stif in stalle,
105			1	5	w	Ful 3ep in þat nw 3ere,
106			1	5	w	Much mirthe he mas with alle.
107		A	1	6	-	Thus þer stondes in stale þe stif kyng his-seluen,
108			1	6	-	Talkkande bifore þe hy3e table of trifles ful hende
109		B	1	6	-	There gode Gawan wat3 grayþed, Gwenore bisyde
110		C	1	6	-	& Agrauayn a la dure mayn on þat oþer syde sittes
111			1	6	-	Boþe þe kynges sister sunes, & ful siker kni3tes;
112		D	1	6	-	Bischop Bawdewyn abof bi-gine3 þe table,
113		E	1	6	-	& Ywan, Vryn son, ette wit hym-seluen;
114			1	6	-	Þise were di3t on þe des, & derworþly serued,
115			1	6	-	& siþen mony siker segge at þe sidborde3.
116		F	1	6	-	Þen þe first cors come with crakkyng of trumpes,
117			1	6	-	Wyth mony baner ful bry3t, þat þer-bi henged,
118			1	6	-	Nwe nakryn noyse with þe noble pipes,
119			1	6	-	Wylde werbles & wy3t wakned lote,
120			1	6	-	Þat mony hert ful hi3e hef at her towches;
121		G	1	6	-	Dayntes dryuen þer-wyth of ful dere metes,
122			1	6	-	Foysoun of þe fresche, & on so fele disches,
123			1	6	-	Þat pine to fynde þe place þe peple bi-forne
124			1	6	-	For to sette þe syluener,[1] þat sere sewes halden,
125			1	6	b	on clothe;
126			1	6	w	Iche lede as he loued hym-selue
127			1	6	w	Þer laght with-outen loþe,
128		H	1	6	w	Ay two had disches twelue,
129		I	1	6	w	Good ber, & bry3t wyn boþe.
130		A	1	7	-	Now wyl I of hor seruise say yow no more,
131			1	7	-	For veh wy3e may wel wit no wont þat þer were;
132		B	1	7	-	An oþer noyse ful newe ne3ed biliue,
133			1	7	-	Þat þe lude my3t haf leue lif-lode to cach.
134			1	7	-	For vneþe wat3 þe noyce not a whyle sesed,
135			1	7	-	& þe fyrst cource in þe court kyndely serued,
136		C	1	7	-	Þer hales in at þe halle dor an aghlich mayster,
137			1	7	-	On þe most on þe molde on mesure hyghe;
138			1	7	-	Fro þe swyre to þe swange so sware & so þik,
139		D	1	7	-	& his lyndes & his lymes so longe & so grete,
140	93		1	7	-	Half etayn in erde I hope þat he were.
141		E	1	7	-	Bot mon most I algate mynn hym to bene,
142			1	7	-	& þat þe myriest in his muckel þat my3t ride;
143		F	1	7	-	For of bak & of brest al were his bodi sturne,
144		G	1	7	-	Bot his wombe & his wast were worthily smale,
145			1	7	-	& alle his fetures fol3ande, in forme þat he hade,
146			1	7	b	ful clene;
147			1	7	w	For wonder of his hwe men hade,
148			1	7	w	Set in his semblaunt sene;
149			1	7	w	He ferde as freke were fade,
150			1	7	w	& ouer-al enker grene.
151		A	1	8	-	Ande al grayþed in grene þis gome & his wedes,
152			1	8	-	A strayt cote ful stre3t, þat stek on his sides,
153			1	8	-	A mere mantile abof, mensked with-inne,
154			1	8	-	With pelure pured apert þe pane ful clene,
155			1	8	-	With blyþe blaunner ful bry3t, & his hod boþe,
156			1	8	-	Þat wat3 la3t fro his lokke3, & layde on his schulderes
157			1	8	-	Heme wel haled, hose of þat same grene,
158		B	1	8	-	Þat spenet on his sparlyr, & clene spures vnder,
159			1	8	-	Of bry3t golde, vpon silk bordes, barred ful ryche
160			1	8	-	& scholes vnder schankes, þere þe schalk rides;
161			1	8	-	& alle his vesture uerayly wat3 clene verdure,
162			1	8	-	Boþe þe barres of his belt & oþer blyþe stones,
163			1	8	-	Þat were richely rayled in his aray clene,
164		C	1	8	-	Aboutte hym-self & his sadel, vpon silk werke3,
165			1	8	-	Þat were to tor for to telle of tryfles þe halue,
166			1	8	-	Þat were enbrauded abof, wyth bryddes & fly3es,
167			1	8	-	With gay gaudi of grene, þe golde ay in myddes;
168			1	8	-	Þe pendauntes of his payttrure, þe proude cropure
169			1	8	-	His molaynes, & alle þe metail anamayld was þenne
170			1	8	-	Þe steropes þat he stod on, stayned of þe same,
171			1	8	-	& his arsoun3 al after, & his aþel sturtes,
172			1	8	-	Þat euer glemered[1] & glent al of grene stones.
173		D	1	8	-	Þe fole þat he ferkkes on, fyn of þat ilke,
174			1	8	b	sertayn;
175			1	8	w	A grene hors gret & þikke,
176		E	1	8	w	A stede ful stif to strayne,
177			1	8	w	In brawden brydel quik,
178	93b		1	8	w	To þe gome he wat3 ful gayn.
179		A	1	9	-	Wel gay wat3 þis gome gered in grene,
180			1	9	-	& þe here of his hed of his hors swete;
181			1	9	-	Fayre fannand fax vmbe-foldes his schulderes;
182		B	1	9	-	A much berd as[1] a busk ouer his brest henges,
183			1	9	-	Þat wyth his hi3lich here, þat of his hed reches,
184			1	9	-	Wat3 euesed al vmbe-torne, a-bof his elbowes,
185			1	9	-	Þat half his armes þer vnder were halched in þe wyse
186			1	9	-	Of a kynge3 capados, þat closes his swyre.
187		C	1	9	-	Þe mane of þat mayn hors much to hit lyke,
188			1	9	-	Wel cresped & cemmed wyth knottes ful mony,
189			1	9	-	Folden in wyth fildore aboute þe fayre grene,
190			1	9	-	Ay a herle of þe here, an oþer of golde;
191		D	1	9	-	Þe tayl & his toppyng twynnen of a sute,
192			1	9	-	& bounden boþe wyth a bande of a bry3t grene,
193			1	9	-	Dubbed wyth ful dere stone3, as þe dok lasted,
194			1	9	-	Syþen þrawen wyth a þwong a þwarle knot alofte,
195			1	9	-	Þer mony belle3 ful bry3t of brende golde rungen.
196		E	1	9	-	Such a fole vpon folde, ne freke þat hym rydes,
197			1	9	-	Wat3 neuer sene in þat sale wyth sy3t er þat tyme,
198			1	9	b	with y3e;
199			1	9	w	He loked as layt so ly3t,
200			1	9	w	So sayd al þat hym sy3e,
201		F	1	9	w	Hit semed as no mon my3t,
202			1	9	w	Vnder his dyntte3 dry3e.
203		A	1	10	-	Wheþer hade he no helme ne hawb[e]rgh nauþer,
204			1	10	-	Ne no pysan, ne no plate þat pented to armes,
205			1	10	-	Ne no schafte, ne no schelde, to schwne ne to smyte,
206		B	1	10	-	Bot in his on honde he hade a holyn bobbe,
207			1	10	-	Þat is grattest in grene, when greue3 ar bare,
208		C	1	10	-	& an ax in his oþer, a hoge & vn-mete,
209			1	10	-	A spetos sparþe to expoun in spelle quo-so my3t;
210			1	10	-	Þe hede of an eln3erde þe large lenkþe hade,
211			1	10	-	Þe grayn al of grene stele & of golde hewen,
212		D	1	10	-	Þe bit burnyst bry3t, with a brod egge,
213			1	10	-	As wel schapen to schere as scharp rasores;
214			1	10	-	Þe stele of a stif staf þe sturne hit bi-grypte,
215	94		1	10	-	Þat wat3 wounden wyth yrn to þe wande3 ende,
216		E	1	10	-	& al bigrauen with grene, in gracios[1] werkes;
217			1	10	-	A lace lapped aboute, þat louked at þe hede,
218			1	10	-	& so after þe halme halched ful ofte,
219			1	10	-	Wyth tryed tassele3 þerto tacched in-noghe,
220		F	1	10	-	On botoun3 of þe bry3t grene brayden ful ryche.
221			1	10	-	Þis haþel helde3 hym in, & þe halle entres,
222			1	10	-	Driuande to þe he3e dece, dut he no woþe,
223		G	1	10	-	Haylsed he neuer one, bot he3e he ouer loked.
224			1	10	-	Þe fyrst word þat he warp, "wher is," he sayd,
225		H	1	10	-	"Þe gouernour of þis gyng? gladly I wolde
226			1	10	-	Se þat segg in sy3t, & with hym self speke
227			1	10	b	raysoun."
228			1	10	w	To kny3te3 he kest his y3e,
